7168    ,TPM1 : tropomyosin 1
7169    ,TPM2 : tropomyosin 2
7170    ,TPM3 : tropomyosin 3
7171    ,TPM4 : tropomyosin 4
775    ,CACNA1C : calcium voltage-gated channel subunit alpha1 C
776    ,CACNA1D : calcium voltage-gated channel subunit alpha1 D
1674    ,DES : desmin
779    ,CACNA1S : calcium voltage-gated channel subunit alpha1 S
781    ,CACNA2D1 : calcium voltage-gated channel auxiliary subunit alpha2delta 1
782    ,CACNB1 : calcium voltage-gated channel auxiliary subunit beta 1
783    ,CACNB2 : calcium voltage-gated channel auxiliary subunit beta 2
784    ,CACNB3 : calcium voltage-gated channel auxiliary subunit beta 3
22801    ,ITGA11 : integrin subunit alpha 11
786    ,CACNG1 : calcium voltage-gated channel auxiliary subunit gamma 1
10369    ,CACNG2 : calcium voltage-gated channel auxiliary subunit gamma 2
59284    ,CACNG7 : calcium voltage-gated channel auxiliary subunit gamma 7
93589    ,CACNA2D4 : calcium voltage-gated channel auxiliary subunit alpha2delta 4
3479    ,IGF1 : insulin like growth factor 1
6546    ,SLC8A1 : solute carrier family 8 member A1
4633    ,MYL2 : myosin light chain 2
4634    ,MYL3 : myosin light chain 3
2010    ,EMD : emerin
7042    ,TGFB2 : transforming growth factor beta 2
4000    ,LMNA : lamin A/C
4624    ,MYH6 : myosin heavy chain 6
9254    ,CACNA2D2 : calcium voltage-gated channel auxiliary subunit alpha2delta 2
3569    ,IL6 : interleukin 6
1756    ,DMD : dystrophin
6442    ,SGCA : sarcoglycan alpha
6443    ,SGCB : sarcoglycan beta
6444    ,SGCD : sarcoglycan delta
6445    ,SGCG : sarcoglycan gamma
488    ,ATP2A2 : ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
7043    ,TGFB3 : transforming growth factor beta 3
7134    ,"TNNC1 : troponin C1, slow skeletal and cardiac type"
59285    ,CACNG6 : calcium voltage-gated channel auxiliary subunit gamma 6
5562    ,PRKAA1 : protein kinase AMP-activated catalytic subunit alpha 1
5563    ,PRKAA2 : protein kinase AMP-activated catalytic subunit alpha 2
60    ,ACTB : actin beta
778    ,CACNA1F : calcium voltage-gated channel subunit alpha1 F
8515    ,ITGA10 : integrin subunit alpha 10
8516    ,ITGA8 : integrin subunit alpha 8
1605    ,DAG1 : dystroglycan 1
70    ,"ACTC1 : actin, alpha, cardiac muscle 1"
3655    ,ITGA6 : integrin subunit alpha 6
10368    ,CACNG3 : calcium voltage-gated channel auxiliary subunit gamma 3
5571    ,PRKAG1 : protein kinase AMP-activated non-catalytic subunit gamma 1
53632    ,PRKAG3 : protein kinase AMP-activated non-catalytic subunit gamma 3
71    ,ACTG1 : actin gamma 1
51422    ,PRKAG2 : protein kinase AMP-activated non-catalytic subunit gamma 2
27091    ,CACNG5 : calcium voltage-gated channel auxiliary subunit gamma 5
27092    ,CACNG4 : calcium voltage-gated channel auxiliary subunit gamma 4
5565    ,PRKAB2 : protein kinase AMP-activated non-catalytic subunit beta 2
3672    ,ITGA1 : integrin subunit alpha 1
3673    ,ITGA2 : integrin subunit alpha 2
3674    ,ITGA2B : integrin subunit alpha 2b
3675    ,ITGA3 : integrin subunit alpha 3
3676    ,ITGA4 : integrin subunit alpha 4
3678    ,ITGA5 : integrin subunit alpha 5
3679    ,ITGA7 : integrin subunit alpha 7
3680    ,ITGA9 : integrin subunit alpha 9
7137    ,"TNNI3 : troponin I3, cardiac type"
5564    ,PRKAB1 : protein kinase AMP-activated non-catalytic subunit beta 1
7139    ,"TNNT2 : troponin T2, cardiac type"
1636    ,ACE : angiotensin I converting enzyme
3685    ,ITGAV : integrin subunit alpha V
785    ,CACNB4 : calcium voltage-gated channel auxiliary subunit beta 4
3688    ,ITGB1 : integrin subunit beta 1
7273    ,TTN : titin
3690    ,ITGB3 : integrin subunit beta 3
3691    ,ITGB4 : integrin subunit beta 4
3693    ,ITGB5 : integrin subunit beta 5
3694    ,ITGB6 : integrin subunit beta 6
3695    ,ITGB7 : integrin subunit beta 7
3696    ,ITGB8 : integrin subunit beta 8
7040    ,TGFB1 : transforming growth factor beta 1
59283    ,CACNG8 : calcium voltage-gated channel auxiliary subunit gamma 8
4625    ,MYH7 : myosin heavy chain 7
6262    ,RYR2 : ryanodine receptor 2
55799    ,CACNA2D3 : calcium voltage-gated channel auxiliary subunit alpha2delta 3
3908    ,LAMA2 : laminin subunit alpha 2
7124    ,TNF : tumor necrosis factor
4607    ,"MYBPC3 : myosin binding protein C, cardiac"
